"管脚
序号","管脚
名称","管脚
类型","供电
管脚",管脚配置,,IO MUX 功能,,,,,,,,LP IO MUX 功能,,,,模拟功能,
27, FLASH_CS , 专用输出, VDD_FLASHIO , -- , -- , FLASH_CS , O , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
28, FLASH_Q , 专用 IO, VDD_FLASHIO , -- , -- , FLASH_Q , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
29, FLASH_WP , 专用 IO, VDD_FLASHIO , -- , -- , FLASH_WP , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
30, VDD_FLASHIO , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
31, FLASH_HOLD , 专用 IO, VDD_FLASHIO , -- , -- , FLASH_HOLD , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
32, FLASH_CK , 专用输出, VDD_FLASHIO , -- , -- , FLASH_CK , O , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
33, FLASH_D , 专用 IO, VDD_FLASHIO , -- , -- , FLASH_D , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
34, DSI_REXT , 专用 IO, VDD_MIPI_DPHY , -- , -- , MIPI DSI PHY 4.02 K? EXTERNAL RESISTOR , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
35, DSI_DATAP1 , 专用 IO, VDD_MIPI_DPHY , -- , -- , MIPI DSI PHY DATAP1 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
36, DSI_DATAN1 , 专用 IO, VDD_MIPI_DPHY , -- , -- , MIPI DSI PHY DATAN1 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
37, DSI_CLKN , 专用 IO, VDD_MIPI_DPHY , -- , -- , MIPI DSI PHY CLKN , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
38, DSI_CLKP , 专用 IO, VDD_MIPI_DPHY , -- , -- , MIPI DSI PHY CLKP , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
39, DSI_DATAP0 , 专用 IO, VDD_MIPI_DPHY , -- , -- , MIPI DSI PHY DATAP0 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
40, DSI_DATAN0 , 专用 IO, VDD_MIPI_DPHY , -- , -- , MIPI DSI PHY DATAN0 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
41, VDD_MIPI_DPHY , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
42, CSI_DATAN0 , 专用 IO, VDD_MIPI_DPHY , -- , -- , MIPI CSI PHY DATAN0 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
43, CSI_DATAP0 , 专用 IO, VDD_MIPI_DPHY , -- , -- , MIPI CSI PHY DATAP0 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
44, CSI_CLKP , 专用 IO, VDD_MIPI_DPHY , -- , -- , MIPI CSI PHY CLKP , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
45, CSI_CLKN , 专用 IO, VDD_MIPI_DPHY , -- , -- , MIPI CSI PHY CLKN , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
46, CSI_DATAN1 , 专用 IO, VDD_MIPI_DPHY , -- , -- , MIPI CSI PHY DATAN1 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
47, CSI_DATAP1 , 专用 IO, VDD_MIPI_DPHY , -- , -- , MIPI CSI PHY DATAP1 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
48, CSI_REXT , 专用 IO, VDD_MIPI_DPHY , -- , -- , MIPI CSI PHY 4.02 K? EXTERNAL RESISTOR , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
49, DM , 专用 IO, VDD_USBPHY , -- , -- , USB2 OTG PHY DM , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
50, DP , 专用 IO, VDD_USBPHY , -- , -- , USB2 OTG PHY DP , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
51, VDD_USBPHY , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
52, GPIO24 , IO , VDD_IO_4 , -- , -- , GPIO24 , I/O/T , GPIO24 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- ,USB1P1_N0,--
53, GPIO25 , IO , VDD_IO_4 , -- ," IE, USB_WPU ", GPIO25 , I/O/T , GPIO25 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- ,USB1P1_P0,--
54,VDD_HP_1 , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
55, GPIO26 , IO , VDD_IO_4 , -- , -- ,GPIO26, I/O/T , GPIO26 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , USB1P1_N1 ,--
56, GPIO27 , IO , VDD_IO_4 , -- , -- ,GPIO27, I/O/T , GPIO27 , I/O/T , -- , -- , -- , -- , -- , -- , -- , -- , USB1P1_P1 ,--
57, GPIO28 , IO , VDD_IO_4 , -- , -- ,GPIO28, I/O/T , GPIO28 , I/O/T , SPI2_CS_PAD , I1/O/T , GMAC_PHY_RXDV_PAD , I0 , -- , -- , -- , -- , -- ,--
58, GPIO29 , IO , VDD_IO_4 , -- , -- ,GPIO29, I/O/T , GPIO29 , I/O/T , SPI2_D_PAD , I1/O/T , GMAC_PHY_RXD0_PAD , I0 , -- , -- , -- , -- , -- ,--
59, VDD_PSRAM_0 , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
60, GPIO30 , IO , VDD_IO_4 , -- , -- ,GPIO30, I/O/T , GPIO30 , I/O/T , SPI2_CK_PAD , I1/O/T , GMAC_PHY_RXD1_PAD , I0 , -- , -- , -- , -- , -- ,--
61, GPIO31 , IO , VDD_IO_4 , -- , -- ,GPIO31, I/O/T , GPIO31 , I/O/T , SPI2_Q_PAD , I1/O/T , GMAC_PHY_RXER_PAD , I0 , -- , -- , -- , -- , -- ,--
62, VDD_IO_4 , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
63, GPIO32 , IO , VDD_IO_4 , IE , -- ,GPIO32, I/O/T , GPIO32 , I/O/T , SPI2_HOLD_PAD , I1/O/T , GMAC_RMII_CLK_PAD , I0 , -- , -- , -- , -- , -- ,--
64, GPIO33 , IO , VDD_IO_4 , IE , -- ,GPIO33, I/O/T , GPIO33 , I/O/T , SPI2_WP_PAD , I1/O/T , GMAC_PHY_TXEN_PAD , O , -- , -- , -- , -- , -- ,--
65,GPIO34, IO , VDD_IO_4 , IE , -- ,GPIO34, I/O/T , GPIO34 , I/O/T , SPI2_IO4_PAD , I1/O/T , GMAC_PHY_TXD0_PAD , O , -- , -- , -- , -- , -- ,--
66,GPIO35, IO , VDD_IO_4 ," IE, WPU ", -- ,GPIO35, I/O/T , GPIO35 , I/O/T , SPI2_IO5_PAD , I1/O/T , GMAC_PHY_TXD1_PAD , O , -- , -- , -- , -- , -- ,--
67,VDD_PSRAM_1 , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
68,GPIO36, IO , VDD_IO_4 , IE , -- ,GPIO36, I/O/T , GPIO36 , I/O/T , SPI2_IO6_PAD , I1/O/T , GMAC_PHY_TXER_PAD , O , -- , -- , -- , -- , -- ,--
69,GPIO37, IO , VDD_IO_4 , IE , IE ,UART0_TXD_PAD, O , GPIO37 , I/O/T , SPI2_IO7_PAD , I1/O/T , -- , -- , -- , -- , -- , -- , -- ,--
70,GPIO38, IO , VDD_IO_4 , IE , -- ,UART0_RXD_PAD, I1 , GPIO38 , I/O/T , SPI2_DQS_PAD , O/T , -- , -- , -- , -- , -- , -- , -- ,--
71, VDDO_FLASH , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
72, VDDO_PSRAM , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
73, VDDO_3 , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
74, VDDO_4 , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
75, VDD_LDO , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
76, VDD_HP_2 , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
77, VDD_DCDCC , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
78, FB_DCDC , 模拟 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
79, EN_DCDC , 模拟 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
80, GPIO39 , IO , VDD_IO_5 , -- , -- , SD1_CDATA0_PAD      , I1/O/T , GPIO39 , I/O/T , -- , -- , REF_50M_CLK_PAD , O , -- , -- , -- , -- , -- ,--
81, GPIO40 , IO , VDD_IO_5 , -- , -- , SD1_CDATA1_PAD      , I1/O/T , GPIO40 , I/O/T , -- , -- , GMAC_PHY_TXEN_PAD , O , -- , -- , -- , -- , -- ,--
82, GPIO41 , IO , VDD_IO_5 , -- , -- , SD1_CDATA2_PAD      , I1/O/T , GPIO41 , I/O/T , -- , -- , GMAC_PHY_TXD0_PAD , O , -- , -- , -- , -- , -- ,--
83, GPIO42 , IO , VDD_IO_5 , -- , -- , SD1_CDATA3_PAD      , I1/O/T , GPIO42 , I/O/T , -- , -- , GMAC_PHY_TXD1_PAD , O , -- , -- , -- , -- , -- ,--
84, GPIO43 , IO , VDD_IO_5 , -- , -- , SD1_CCLK_PAD         , O , GPIO43 , I/O/T , -- , -- , GMAC_PHY_TXER_PAD , O , -- , -- , -- , -- , -- ,--
85, VDD_IO_5 , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
86, GPIO44 , IO , VDD_IO_5 , -- , -- , SD1_CCMD_PAD      , I1/O/T , GPIO44 , I/O/T , -- , -- , GMAC_RMII_CLK_PAD , I0 , -- , -- , -- , -- , -- ,--
87, GPIO45 , IO , VDD_IO_5 , -- , -- , SD1_CDATA4_PAD      , I1/O/T , GPIO45 , I/O/T , -- , -- , GMAC_PHY_RXDV_PAD , I0 , -- , -- , -- , -- , -- ,--
88, GPIO46 , IO , VDD_IO_5 , -- , -- , SD1_CDATA5_PAD      , I1/O/T , GPIO46 , I/O/T , -- , -- , GMAC_PHY_RXD0_PAD , I0 , -- , -- , -- , -- , -- ,--
89, GPIO47 , IO , VDD_IO_5 , -- , -- , SD1_CDATA6_PAD      , I1/O/T , GPIO47 , I/O/T , -- , -- , GMAC_PHY_RXD1_PAD , I0 , -- , -- , -- , -- , -- ,--
90, GPIO48 , IO , VDD_IO_5 , -- , -- , SD1_CDATA7_PAD      , I1/O/T , GPIO48 , I/O/T , -- , -- , GMAC_PHY_RXER_PAD , I0 , -- , -- , -- , -- , -- ,--
91, VDD_HP_3 , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
92, GPIO49 , IO , VDD_IO_6 , -- , -- , GPIO49 , I/O/T , GPIO49 , I/O/T , -- , -- , GMAC_PHY_TXEN_PAD , O , -- , -- , -- , -- , ADC2_CHANNEL0 ,--
93, GPIO50 , IO , VDD_IO_6 , -- , -- , GPIO50 , I/O/T , GPIO50 , I/O/T , -- , -- , GMAC_RMII_CLK_PAD , I0 , -- , -- , -- , -- , ADC2_CHANNEL1 ,--
94, GPIO51 , IO , VDD_IO_6 , -- , -- , GPIO51 , I/O/T , GPIO51 , I/O/T , -- , -- , GMAC_PHY_RXDV_PAD , I0 , -- , -- , -- , -- , ADC2_CHANNEL2 ,ANA_COMP0
95, GPIO52 , IO , VDD_IO_6 , -- , -- , GPIO52 , I/O/T , GPIO52 , I/O/T , -- , -- , GMAC_PHY_RXD0_PAD , I0 , -- , -- , -- , -- , ADC2_CHANNEL3 ,ANA_COMP0
96, VDD_IO_6 , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
97, GPIO53 , IO , VDD_IO_6 , -- , -- , GPIO53 , I/O/T , GPIO53 , I/O/T , -- , -- , GMAC_PHY_RXD1_PAD , I0 , -- , -- , -- , -- , ADC2_CHANNEL4 ,ANA_COMP1
98, GPIO54 , IO , VDD_IO_6 , -- , -- , GPIO54 , I/O/T , GPIO54 , I/O/T , -- , -- , GMAC_PHY_RXER_PAD , I0 , -- , -- , -- , -- , ADC2_CHANNEL5 ,ANA_COMP1
99, XTAL_N , 模拟 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
100, XTAL_P , 模拟 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
101, VDD_ANA , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
102, VDD_BAT , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
103, CHIP_PU , 模拟 , VDD_BAT , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
104, GPIO0 , IO , VDD_LP/VDD_BAT , -- , -- , GPIO0 , I/O/T , GPIO0 , I/O/T , -- , -- , -- , -- , LP_GPIO0 , I/O/T , LP_GPIO0 , I/O/T , XTAL_32K_N ,--
105, GND , 电源 , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- , -- ,--
